timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1441193774493302,-7,1,-6,-7,0,-3,-3,-5
1441193774493302,27,-3,3,21,0,-2,0,0
1441193774502008,-28,2,8,60,1,2,-1,1
1441193774502008,9,1,-11,-30,-1,-1,1,0
1441193774517140,-11,1,-6,-9,-2,2,-3,-6
1441193774517140,-1,-7,8,58,-6,-9,-4,1
1441193774520007,25,3,-6,-10,-2,4,15,5
1441193774520007,-32,-15,-10,-30,2,-1,-21,-3
1441193774540031,2,8,2,20,1,-4,30,-4
1441193774540031,-10,-7,-10,-46,0,-3,-12,-6
1441193774542008,56,19,-2,11,-5,2,-16,-12
1441193774542008,-46,-17,14,49,-4,-8,6,37
1441193774553227,54,-2,-12,-37,5,3,-17,-27
1441193774553227,7,28,-4,-15,-2,2,-3,10
1441193774563006,-2,-22,-4,25,-2,-7,11,-9
1441193774563006,-8,0,0,-16,2,1,-7,16
1441193774577157,-11,-3,-7,-10,-2,-4,2,2
1441193774577157,8,8,8,35,-4,0,2,2
1441193774578005,-17,-6,-10,-40,2,3,-7,-11
1441193774578005,56,15,7,37,0,1,0,-18
1441193774599254,-2,0,-2,-16,-7,-3,-4,-3
1441193774599254,16,-12,2,5,1,1,1,4
1441193774601009,-15,-14,-7,-6,1,-6,3,7
1441193774601009,13,-6,-3,8,-4,-5,-13,-21
1441193774613252,8,16,4,-3,4,2,8,20
1441193774613252,49,24,5,-22,2,3,0,-20
1441193774622007,3,-17,4,-15,-2,-5,-3,-2
1441193774622007,12,5,-2,8,-4,-2,9,-1
1441193774637044,-54,-18,-1,-35,-6,-6,-21,-39
1441193774637044,9,6,-6,24,1,-3,7,9
1441193774638008,11,8,1,-76,-4,0,-6,-9
1441193774638008,-32,-2,1,9,5,2,5,-14
1441193774659229,-39,-6,-1,-15,-6,-3,-5,15
1441193774659229,-26,-10,-8,-51,0,1,7,-40
1441193774661010,31,11,8,31,-3,-5,-12,26
1441193774661010,1,-18,0,-30,2,1,16,-30
1441193774673275,-53,-4,-5,19,-2,2,2,-20
1441193774673275,-20,-42,-8,89,3,-8,7,-42
1441193774683010,33,20,-3,-5,-6,4,-14,82
1441193774683010,24,0,2,-20,-5,0,5,-26
1441193774697212,12,-10,-10,-39,-4,-4,10,-6
1441193774697212,9,-4,-8,-1,0,0,-12,-9
1441193774699033,-19,-8,4,-9,-2,1,-1,-56
1441193774699033,16,-24,-15,13,-4,-6,10,40
1441193774719238,-61,-1,-10,2,0,-1,3,-27
1441193774719238,38,4,14,-27,-4,-1,-5,43
1441193774721007,-21,-17,-2,-17,-5,-7,13,25
1441193774721007,7,13,0,46,4,10,-16,-52
1441193774733286,-22,-3,1,8,-9,-13,-13,65
1441193774733286,-43,-8,-5,9,1,7,23,-35
1441193774742014,38,4,3,96,1,-5,-3,-21
1441193774742014,-82,3,9,4,-1,3,12,36
1441193774757132,4,-38,-10,51,-3,-4,-13,-42
1441193774757132,-65,5,7,-42,-1,4,0,21
1441193774759013,-25,11,11,10,4,0,4,21
1441193774759013,1,8,-4,-43,-1,1,-1,-8
1441193774780012,68,1,22,78,8,2,-4,-9
1441193774780012,-7,13,1,-30,-3,0,-2,33
1441193774782012,-19,-12,-13,-61,-2,0,5,-36
1441193774782012,14,3,-7,6,-2,-9,-12,12
1441193774794140,76,15,8,74,8,7,2,15
1441193774794140,16,-9,-17,-41,-8,-5,-2,-2
1441193774800257,52,16,6,3,3,3,-5,-2
1441193774800257,-45,-3,0,-23,-2,1,4,-4
1441193774817157,-10,9,-2,-50,-1,2,-1,9
1441193774817157,48,3,-1,-7,-3,-8,-11,-46
1441193774819010,41,30,-5,-8,3,1,-2,40
1441193774819010,54,25,0,2,-4,-1,-3,-8
1441193774840538,-48,-21,-2,24,0,-4,1,-13
1441193774840538,-38,-8,2,2,0,-1,1,16
1441193774842045,-14,-2,-9,1,-3,-1,-2,-35
1441193774842045,-21,-1,5,-5,-3,-2,-7,-18
1441193774853215,105,29,7,-4,1,4,4,10
1441193774853215,7,7,9,4,-4,-7,-4,1
1441193774862011,-62,-31,-18,49,-2,-5,0,-5
1441193774862011,23,-1,1,-17,2,2,0,-1
1441193774877187,-33,2,-2,-42,-3,2,1,-9
1441193774877187,-17,-3,-6,-24,-2,1,-2,22
1441193774878010,-9,-7,17,19,0,-5,7,-15
1441193774878010,-14,-4,-4,-21,-1,6,-3,-2
1441193774899264,7,3,-1,-18,-6,-5,-1,10
1441193774899264,-22,3,3,29,1,3,0,5
1441193774901011,-20,1,-1,-35,-1,0,0,-1
1441193774901011,21,-2,1,39,-1,-8,-4,8
1441193774913262,-5,9,6,-19,-1,3,0,14
1441193774913262,-7,-16,-6,22,-5,0,-5,-7
1441193774922017,-24,-1,-4,-22,-5,-1,0,-23
1441193774922017,74,21,3,21,-1,3,-6,22
1441193774937236,35,23,1,-13,-1,1,8,28
1441193774937236,-5,4,4,13,6,0,-6,-13
1441193774939014,-7,-3,-3,-16,5,-1,-1,-1
1441193774939014,14,-1,-1,13,1,-3,-2,-12
1441193774959284,10,-5,-2,-2,1,-2,-6,-12
1441193774959284,12,12,1,-2,-3,2,0,15
1441193774961016,-5,4,-6,-11,2,5,-3,1
1441193774961016,-6,-9,3,11,-3,-2,2,7
1441193774973326,-16,-6,-5,-25,2,-2,-2,-5
1441193774973326,-12,-1,0,7,-2,0,-2,4
1441193774982019,11,-5,0,1,-1,0,1,-5
1441193774982019,-28,-4,-3,-14,-1,0,3,0
1441193774998017,-10,-5,4,9,1,1,-2,0
1441193774998017,13,1,-3,-7,2,-2,0,-5
1441193774999018,-10,-4,3,3,-1,0,0,0
1441193774999018,-9,-5,-1,-10,0,0,1,4
1441193775019217,-7,0,-1,9,-3,-2,-6,-4
1441193775019217,4,-1,-2,3,-1,-1,-1,0
1441193775021015,-3,-1,-2,-5,-1,-4,1,-1
1441193775021015,-10,-1,1,0,1,-2,0,2
1441193775033244,0,-4,3,11,-1,3,-1,-6
1441193775033244,-10,-1,-5,-13,-4,-1,-1,-3
1441193775043018,0,2,-2,6,-1,-1,-1,4
1441193775043018,3,-2,-4,-16,-2,2,0,-4
1441193775057134,-13,-17,0,25,3,-6,-3,-4
1441193775057134,-1,6,-5,-10,-3,-1,-3,-3
1441193775059070,3,8,2,11,-1,-1,0,1
1441193775059070,4,13,3,-1,-3,16,2,3
1441193775079259,-3,-21,-3,-4,0,-1,-2,-1
1441193775079259,-6,1,-1,4,1,-5,0,-3
1441193775081018,1,-11,-5,3,0,2,-1,-1
1441193775081018,-7,17,1,-7,-1,-6,-3,-3
1441193775093287,-4,7,2,7,-6,-1,-1,-4
1441193775093287,5,-4,0,-3,-2,2,0,0
1441193775103019,-4,10,0,-4,-3,4,0,0
1441193775103019,-2,-9,-1,2,2,-9,-3,3
1441193775117154,3,8,-1,-4,-2,1,1,-1
1441193775117154,0,7,-1,3,-1,0,-2,1
1441193775118040,-14,-25,-3,-3,1,-2,1,-3
1441193775118040,-4,-11,-1,2,-1,-5,1,1
1441193775139237,2,17,-1,3,5,-1,-3,-1
1441193775139237,1,11,1,-5,0,-1,-2,1
1441193775141020,3,-20,0,-1,-6,-1,2,4
1441193775141020,-9,-18,-2,-2,-2,-3,-3,-2
1441193775153241,-2,-8,3,-2,-1,-3,0,-3
1441193775153241,-1,16,-1,0,-2,0,-1,-2
1441193775163019,0,-6,1,0,3,-2,2,4
1441193775163019,0,-8,-2,0,-1,-2,1,-2
1441193775177184,6,23,-6,-4,-2,-3,-2,0
1441193775177184,-8,-45,-2,-2,-1,3,0,2
1441193775179024,-12,13,4,-2,-6,-6,-3,-5
1441193775179024,-1,10,1,1,-1,1,0,0
1441193775199251,-3,-23,-5,-4,-2,5,1,1
1441193775199251,6,14,-1,-1,1,-4,-2,-3
1441193775201017,4,7,-2,-1,-2,-2,-3,-1
1441193775201017,-2,-5,1,-1,-4,-1,0,0
1441193775213265,0,17,1,5,-1,-1,-1,0
1441193775213265,-3,-8,0,-1,2,-2,2,-3
1441193775223022,2,0,-1,-5,0,1,-2,-2
1441193775223022,-2,6,0,-4,-6,0,-2,1
1441193775236152,-2,-8,-1,-2,-3,2,1,0
1441193775236152,-4,-1,-1,0,0,-1,-3,-2
1441193775244019,0,2,1,0,-1,-2,0,0
1441193775244019,1,3,-3,-2,-1,-3,1,-2
1441193775260030,-6,-7,-4,-2,-3,-2,-2,-1
1441193775260030,-1,1,1,0,-4,-3,-1,0
1441193775262022,1,2,-1,-3,1,0,-1,0
1441193775262022,-1,-4,-1,0,2,0,1,0
1441193775273305,0,-1,0,0,-2,3,-3,0
1441193775273305,0,6,-1,0,-5,-3,-4,1
1441193775282024,2,-15,-1,-2,2,1,2,3
1441193775282024,0,22,-1,-1,2,-3,-1,-1
1441193775296220,-2,-15,-4,-2,1,-4,-2,-3
1441193775296220,-5,7,0,-2,-1,2,1,0
1441193775305023,0,0,1,2,1,-2,-2,0
1441193775305023,1,-7,-3,-4,2,-1,-1,1
1441193775319229,-1,8,1,0,0,0,0,0
1441193775319229,1,-1,-1,-6,-3,-3,0,-2
1441193775321023,-2,0,-2,2,-1,-2,1,0
1441193775321023,-1,-2,-1,0,1,0,-2,1
1441193775342144,4,4,0,1,-2,-3,2,-2
1441193775342144,-14,-8,-5,0,1,0,0,-1
1441193775343020,1,-1,1,-7,-3,1,0,0
1441193775343020,-2,-3,1,1,-2,1,-4,-1
1441193775356047,-2,0,-2,1,-2,-1,-1,-2
1441193775356047,-2,-6,5,5,0,-1,2,1
1441193775363246,20,4,0,-13,0,-2,1,3
1441193775363246,-17,-5,-10,-5,1,-4,-3,-2
1441193775379258,-3,0,2,4,1,-2,-5,-3
1441193775379258,6,-2,0,7,2,1,0,-2
1441193775381021,-4,3,-3,-3,-1,1,0,-2
1441193775381021,22,-4,3,-1,-3,3,2,2
1441193775402153,-37,-5,-8,9,-5,-5,-4,-3
1441193775402153,11,2,2,3,0,0,-3,0
1441193775404032,-3,-4,-4,0,-2,-3,3,1
1441193775404032,6,-5,-3,3,-4,0,1,1
1441193775417183,5,3,-2,-7,3,-1,-1,1
1441193775417183,1,-1,-1,0,-5,0,-2,-3
1441193775420042,0,0,-2,12,0,-5,-4,1
1441193775420042,4,3,-4,-34,1,2,-1,-2
1441193775439296,18,4,1,-3,-6,-3,-2,-4
1441193775439296,-51,-18,-3,4,-1,-1,1,6
1441193775441026,11,5,-9,-4,0,2,-3,-3
1441193775441026,4,-3,0,31,-2,-3,-3,-2
1441193775462182,-18,2,10,-19,3,0,-2,-4
1441193775462182,20,-5,-6,8,-1,-2,-4,-2
1441193775464027,-30,-2,4,25,-4,-1,-3,-2
1441193775464027,12,-3,-3,-7,2,4,-5,1
1441193775476259,23,3,-3,0,-1,0,5,3
1441193775476259,20,14,-1,10,0,4,-1,-1
1441193775483294,-33,-6,2,-31,-4,-5,-1,0
1441193775483294,-7,5,7,30,0,-2,-10,0
1441193775500027,88,5,-9,-41,0,1,2,-7
1441193775500027,-24,5,-1,-26,5,0,-5,6
1441193775502026,-11,-3,-5,-1,1,0,0,-1
1441193775502026,18,-3,4,2,2,0,12,-1
1441193775522241,5,5,0,-28,-5,0,-14,-4
1441193775522241,31,14,3,40,-4,2,-5,-9
1441193775524024,-50,-20,9,-8,-1,3,37,34
1441193775524024,15,3,-8,1,1,-5,-20,-23
1441193775536265,-42,-8,-3,-15,0,3,9,17
1441193775536265,38,1,2,52,-3,-1,-7,-9
1441193775543252,103,14,-2,-26,-5,-2,-23,-23
1441193775543252,-37,6,3,27,3,5,20,45
1441193775559264,-62,-1,0,45,-1,0,7,-12
1441193775559264,-27,-9,6,-44,-5,-4,1,-7
1441193775561024,22,8,-9,7,1,-4,-5,5
1441193775561024,24,-13,-6,-1,-3,-4,1,1
1441193775582168,1,18,8,12,-2,0,-15,-27
1441193775582168,-11,-13,-10,17,2,3,11,-13
1441193775584030,17,16,16,-7,-6,-1,-6,31
1441193775584030,16,-6,-3,-27,-6,-3,-3,-38
1441193775596030,23,8,0,16,1,4,-6,37
1441193775596030,55,12,4,-6,-2,-6,-6,-13
1441193775603264,-9,9,-18,-14,-1,3,-2,-9
1441193775603264,-29,-1,9,21,0,2,15,-6
1441193775619284,-94,-30,-3,-23,-4,-5,-7,-30
1441193775619284,3,3,-8,-26,0,-3,-5,35
1441193775621026,69,8,13,91,4,2,1,-2
